désignation,français,traduction en créole guyanais
mot,Taire (se),"Kawka, pé, té"
mot,Tamanoir,"Tanmannwè, Manjò-fronmi"
mot,Tambourin,"Ti-tanbou, srèk-tanbou, tanbouren"
mot,Tamis,"Mannaré, manaré"
mot,Tant pis,"Sa pa ka fè anyen, zafè kò, zafè do"
mot,Tapage,"Bakannal, wélélé"
mot,Taquiner,Charadé
mot,Tarder,"Mizé, taté monben"
mot,Tâtons (marcher à),Tata
mot,Tellement,"Afòrs, si tan, si tan di"
mot,Temps couvert,Tan maré
mot,"Tendre de la main, tendre","Lonjé lanmen, lonjé"
mot,Tenir compte de,Panga
mot,Tenir tête,Réponn chou pou chou
mot,"Terminé, plus de discussion","Katata, kawka"
mot,Tique (insecte),Karapat
mot,Tison,Bwa difé
mot,Tissu autour des hanches d’une femme,Kanmza
mot,"Tissu (ceinture de madras) autour des hanches
d’un homme",Matchoukann
mot,Tissu noué sur la tête pour porter une charge,Tòrch
mot,Tissu bleu grossier,"Groblé, dril"
mot,Toilette,"Komen, konmen, katich, kabiné, tinèt"
mot,Toit,Fétaj
mot,Tomber,Chapé-tonbé
mot,Tordu,"Kroubé, kokobé"
mot,Tordu,"Kwanbou, tòrdé"
mot,Tôt,"Bònò, bonnò, bònò-bònò, bonnò-bonnò"
mot,Toucher,Taté
mot,Toupet,"Kran, krann"
mot,Tourmenter,Troumanté
mot,Tout de même,Tout-menm
mot,Tracas,"Djopopo, lélékou, trafalga"
mot,Trainailler,"Alé-vini, bay lari chenn, bat lari"
mot,Trainailler,"Djòm-djòm, djonm-djonm"
mot,Traîner un poids,Chròlòlò
mot,Trainer les rues,Drivé
mot,Tralala,Wélélé
mot,Travers (en),Atravè
mot,Traverser,Trabésé
mot,Trébucher,"Tribiché, trilbiché"
mot,Trémousser,"Troumousé, foutrou"
mot,Tromperie,Doublaj
mot,Trop,Tròp
mot,"Troquer, échanger",Boukanté
mot,Tu parles ?,Koté sa !
mot,Turbulent,Troumantan
mot,Unique,Inik
mot,"L’un l’autre, réciproquement","Konpanyen, konpangnen"
mot,Un tel,Entel
mot,Utiliser,Sèrvi
mot,Va-et-vient,Viré-tournen
mot,Vaut la peine,Val pa (vieilli)
